
  STNR     EAST    NORTH      LON      LAT YEAR                  RR_1
------ -------- -------- -------- -------- -------------------- -----
 69150   294886  7046589  10.8795  63.4882 1987                 #####
 69150   294886  7046589  10.8795  63.4882 1988                   8.3
 69150   294886  7046589  10.8795  63.4882 1991                  10.6
 69150   294886  7046589  10.8795  63.4882 1992                   5.6
 69150   294886  7046589  10.8795  63.4882 1993                   6.7
 69150   294886  7046589  10.8795  63.4882 1994                   4.7
 69150   294886  7046589  10.8795  63.4882 1995                   7.6
 69150   294886  7046589  10.8795  63.4882 1996                   7.9
 69150   294886  7046589  10.8795  63.4882 1997                   9.8
 69150   294886  7046589  10.8795  63.4882 1998                   5.6
 69150   294886  7046589  10.8795  63.4882 1999                   8.3
 69150   294886  7046589  10.8795  63.4882 2000                   4.4
 69150   294886  7046589  10.8795  63.4882 2001                  99.0
 69150   294886  7046589  10.8795  63.4882 2002                   6.9
 69150   294886  7046589  10.8795  63.4882 2003                  14.5
 69150   294886  7046589  10.8795  63.4882 2004                   8.1
 69150   294886  7046589  10.8795  63.4882 2005                  30.3
 69150   294886  7046589  10.8795  63.4882 2006                  24.9
 69150   294886  7046589  10.8795  63.4882 2007                   8.3
 69150   294886  7046589  10.8795  63.4882 2008                  37.1
 69150   294886  7046589  10.8795  63.4882 2009                   9.1
 69150   294886  7046589  10.8795  63.4882 2010                  10.0
 69150   294886  7046589  10.8795  63.4882 2011                  15.3

23 rows selected.

